Zone,UseZone,Exposure,MapTrigger,IDorderBuy,OpenPrice,AmountBuy,OpenTime,FilledBuy,feeBuy,ExposureBuy,NAV,TradeTrigger,IDorderSell,ClosePrice,AmountSell,CloseTime,feeSell,LastClosePrice,Profit,round,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
0.015,-1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0155,-1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.016,-1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0165,-1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.017,-1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0175,-1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.018,-1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0185,-1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.019,-1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0195,-1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.02,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0205,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.021,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0215,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.022,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0225,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.023,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0235,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.024,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0245,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.025,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0255,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.026,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0265,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.027,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0275,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0279999999999999,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0285,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0289999999999999,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0295,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.03,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0305,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.031,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0315,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.032,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0325,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.033,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0335,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.034,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0345,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.035,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0355,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.036,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0365,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.037,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0375,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.038,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0385,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.039,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0395,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.04,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0405,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0409999999999999,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0415,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.042,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
