datex,open,high,low,close,volume
1615847400000,0.436375,0.437,0.4362,0.437,22066.945475
1615847700000,0.437,0.437,0.4366,0.436825,8772.254
1615848000000,0.436825,0.437275,0.436075,0.436175,14240.31255
1615848300000,0.436175,0.4363,0.4356,0.4356,23886.371925
1615848600000,0.4356,0.4367,0.4356,0.43655,190389.0892
1615848900000,0.43655,0.4374,0.43655,0.437325,5555.27775
1615849200000,0.437325,0.440075,0.437325,0.439475,3171.01265
1615849500000,0.439475,0.4409,0.439475,0.440425,18422.8531
1615849800000,0.440425,0.44055,0.4401,0.4403,1959.36825
1615850100000,0.4403,0.440325,0.440175,0.4403,1.3209
1615850400000,0.4403,0.4403,0.439275,0.439675,687.06125
1615850700000,0.439675,0.4401,0.439675,0.4401,2.2005
1615851000000,0.4401,0.4405,0.4401,0.4405,1807.9312
1615851300000,0.4405,0.4405,0.4394,0.4396,634.902
1615851600000,0.4396,0.4396,0.4384,0.439,35.99445
1615851900000,0.439,0.439175,0.43565,0.43565,5086.188775
1615852200000,0.43565,0.4361,0.4351,0.435625,2615.80455
1615852500000,0.435625,0.43645,0.435625,0.436175,2.18085
1615852800000,0.436175,0.4385,0.434175,0.4373,2540.4655
1615853100000,0.4373,0.43855,0.4373,0.438425,109.4965
1615853400000,0.438425,0.438425,0.43725,0.437925,89.728
1615853700000,0.437925,0.439175,0.4376,0.439125,2273.7419
1615854000000,0.439125,0.439125,0.435,0.435,102.478125
1615854300000,0.435,0.435525,0.4333,0.434025,2964.673925
1615854600000,0.434025,0.434275,0.43265,0.4339,831.77095
1615854900000,0.4339,0.434275,0.432725,0.4337,1465.302175
1615855200000,0.4337,0.434175,0.4327,0.4339,128.265825
1615855500000,0.4339,0.43405,0.4312,0.431875,8146.817975
1615855800000,0.431875,0.431875,0.42865,0.4318,5685.843925
1615856100000,0.4318,0.432125,0.430775,0.4316,96.653975
1615856400000,0.4316,0.4316,0.42765,0.428575,4991.74885
1615856700000,0.428575,0.4306,0.42745,0.4292,11811.407425
1615857000000,0.4292,0.4296,0.427175,0.4286,24370.2761
1615857300000,0.4286,0.4306,0.4277,0.430275,20844.2415
1615857600000,0.430275,0.43055,0.4288,0.42925,1072.5059
1615857900000,0.42925,0.431275,0.429225,0.430725,4146.124925
1615858200000,0.430725,0.430875,0.4292,0.429975,7473.1655
1615858500000,0.429975,0.430025,0.429225,0.430025,3801.37605
1615858800000,0.430025,0.4318,0.430025,0.4318,44987.89675
1615859100000,0.4318,0.4327,0.431075,0.432575,129.222525
1615859400000,0.432575,0.432875,0.432025,0.432325,7075.408025
